GRAMS	Dust Mass(Msun)	Max C2H2 log(n/cm2)
3420	4.48036E-06	16.62
3421	1.12009E-02	20.01
3422	8.96072E-03	19.92
3423	8.96072E-04	18.92
3424	8.96072E-05	17.92
3425	8.96072E-06	16.92
3426	1.56813E-02	20.16
3427	1.34411E-02	20.09
3428	1.34411E-03	19.09
3429	1.79214E-02	20.22
3430	1.79214E-03	19.22
3431	1.79214E-04	18.22
3432	1.79214E-05	17.22
3433	2.24018E-03	19.31
3434	2.68822E-03	19.39
3435	2.68822E-04	18.39
3436	2.68822E-05	17.39
3437	3.13625E-03	19.46
3438	3.58429E-03	19.52
3439	3.58429E-04	18.52
3440	3.58429E-05	17.52
3441	4.03232E-03	19.57
