            wave            flux
            (um)    (normalized)
      0.79335163      1.00000000
      0.79401303      1.00000000
      0.79467498      1.00000000
      0.79533749      1.00000000
      0.79600054      1.00000000
      0.79666415      1.00000000
      0.79732832      1.00000000
      0.79799303      1.00000000
      0.79865831      1.00000000
      0.79932413      1.00000000
      0.79999051      1.00000000
      0.80065745      1.00000000
      0.80132494      1.00000000
      0.80199299      1.00000000
      0.80266160      1.00000000
      0.80333076      1.00000000
      0.80400048      1.00000000
      0.80467076      1.00000000
      0.80534160      1.00000000
      0.80601300      1.00000000
      0.80668496      1.00000000
      0.80735747      1.00000000
      0.80803055      1.00000000
      0.80870419      1.00000000
      0.80937839      1.00000000
      0.81005316      1.00000000
      0.81072848      1.00000000
      0.81140437      1.00000000
      0.81208082      1.00000000
      0.81275784      1.00000000
      0.81343542      1.00000000
      0.81411356      1.00000000
      0.81479227      1.00000000
      0.81547155      1.00000000
      0.81615139      1.00000000
      0.81683180      1.00000000
      0.81751278      1.00000000
      0.81819433      1.00000000
      0.81887644      1.00000000
      0.81955912      1.00000000
      0.82024237      1.00000000
      0.82092619      1.00000000
      0.82161058      1.00000000
      0.82229554      1.00000000
      0.82298107      1.00000000
      0.82366718      1.00000000
      0.82435385      1.00000000
      0.82504110      1.00000000
      0.82572892      1.00000000
      0.82641732      1.00000000
      0.82710628      1.00000000
      0.82779583      1.00000000
      0.82848594      1.00000000
      0.82917664      1.00000000
      0.82986791      1.00000000
      0.83055975      1.00000000
      0.83125217      1.00000000
      0.83194517      1.00000000
      0.83263875      1.00000000
      0.83333290      1.00000000
      0.83402764      1.00000000
      0.83472295      1.00000000
      0.83541884      1.00000000
      0.83611531      1.00000000
      0.83681237      1.00000000
      0.83751000      1.00000000
      0.83820822      1.00000000
      0.83890701      1.00000000
      0.83960640      1.00000000
      0.84030636      1.00000000
      0.84100691      1.00000000
      0.84170804      1.00000000
      0.84240975      1.00000000
      0.84311205      1.00000000
      0.84381494      1.00000000
      0.84451841      1.00000000
      0.84522247      1.00000000
      0.84592712      1.00000000
      0.84663235      1.00000000
      0.84733817      1.00000000
      0.84804458      1.00000000
      0.84875158      1.00000000
      0.84945917      1.00000000
      0.85016734      1.00000000
      0.85087611      1.00000000
      0.85158547      1.00000000
      0.85229542      1.00000000
